00:00 - Start
00:10 - Exercise 1
01:10 - Exercise 2
02:10 - Exercise 3
03:10 - Exercise 4
04:10 - Exercise 5
05:10 - Exercise 6
06:10 - Exercise 7
07:10 - Exercise 8
08:10 - Exercise 9
09:10 - Exercise 10
10:10 - Exercise 11
11:10 - Exercise 12
12:10 - Exercise 13
13:10 - Exercise 14
14:10 - Exercise 15
15:10 - Exercise 16
16:10 - Exercise 17
17:10 - Exercise 18
18:10 - Exercise 19
19:10 - Exercise 20
20:10 - Exercise 21
21:10 - Exercise 22
22:10 - Exercise 23
23:10 - Exercise 24
24:10 - Exercise 25
25:10 - Exercise 26
26:10 - Exercise 27
27:10 - Exercise 28
28:10 - Exercise 29
29:10 - Exercise 30
30:02 - Recommended plan
